interaction_id,student_id,group_id,question_type,timestamp,response_time_minutes,response_quality,student_satisfaction,follow_up_needed,complexity_level,ai_confidence
TUT0001,STU063,GRP005,Hyperparameter Tuning,2025-08-20 02:14:15.520503,37.269358831293566,10.0,10.0,False,Advanced,74.16169526914688
TUT0002,STU064,GRP014,Documentation,2025-08-19 17:35:15.520534,16.86494737927959,8.303707222975707,7.785524780909658,False,Intermediate,92.6110534437936
TUT0003,STU063,GRP006,Feature Engineering,2025-08-18 00:41:15.520543,19.36000419956654,8.678435142204687,8.481441801583127,True,Basic,95.19298656359193
TUT0004,STU038,GRP002,Model Evaluation,2025-08-21 21:41:15.520551,16.64148817817011,7.886596417334788,8.206681235396314,False,Basic,94.10213247494535
TUT0005,STU059,GRP019,Documentation,2025-08-18 04:58:15.520558,34.82898186054549,7.16373379806833,6.8897358886977615,False,Advanced,80.89261071680369
TUT0006,STU015,GRP009,Presentation,2025-08-20 06:54:15.520566,12.515929438956457,9.409435727866388,9.315079927996472,False,Basic,92.04762254218434
TUT0007,STU057,GRP018,Hyperparameter Tuning,2025-08-19 14:59:15.520573,34.716468213270346,8.037925750716342,8.519888462244127,True,Advanced,60.5674103219345
TUT0008,STU032,GRP010,Data Preprocessing,2025-08-19 08:16:15.520583,14.645167220125764,8.078129376743446,7.93238466611677,False,Basic,77.01610577127363
TUT0009,STU057,GRP004,Hyperparameter Tuning,2025-08-22 01:46:15.520595,10.840837236739157,8.752749665742218,8.307375233966086,False,Advanced,90.16615942817207
TUT0010,STU045,GRP020,Project Planning,2025-08-22 13:45:15.520603,20.994520144118887,8.8474990057759,9.21167161231067,False,Basic,73.72293994094716
TUT0011,STU027,GRP002,Code Debugging,2025-08-18 09:44:15.520610,22.567907592394587,8.320528738085644,8.112309521461631,False,Advanced,64.07272988280582
TUT0012,STU022,GRP011,Model Evaluation,2025-08-21 04:04:15.520616,6.28587301045795,9.025762074641884,9.22083904464861,False,Advanced,66.02923332464582
TUT0013,STU013,GRP005,Project Planning,2025-08-23 18:53:15.520623,20.753392871490384,10.0,10.0,False,Advanced,86.18622748390472
TUT0014,STU017,GRP005,Hyperparameter Tuning,2025-08-22 19:08:15.520630,5.603029728546535,9.037839404924501,9.450816482734533,False,Basic,90.34609511371467
TUT0015,STU051,GRP016,Model Selection,2025-08-17 21:24:15.520637,41.23171869991837,8.834096479634665,8.079818495528237,False,Advanced,52.421243588849244
